游戏服务器,所属游戏,文件夹,启动程序,配置文件
APP大厅_通用_001,通用APP10704,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10704.xml
,通用APP10702,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10702.xml
,通用APP10701,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10701.xml
,通用APP10703,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10703.xml
APP大厅_通用_002,通用APP10706,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10706.xml
,通用APP10708,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10708.xml
,通用APP10705,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10705.xml
,通用APP10707,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10707.xml
APP大厅_通用_003,通用APP10711,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10711.xml
,通用APP10709,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10709.xml
,通用APP10712,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10712.xml
,通用APP10710,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10710.xml
APP大厅_通用_004,通用APP10716,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10716.xml
,通用APP10713,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10713.xml
,通用APP10714,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10714.xml
,通用APP10715,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10715.xml
APP大厅_通用_005,通用APP10719,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10719.xml
,通用APP10718,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10718.xml
,通用APP10717,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10717.xml
,通用APP10720,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10720.xml
APP大厅_通用_006,通用APP10724,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10724.xml
,通用APP10723,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10723.xml
,通用APP10721,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10721.xml
,通用APP10722,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10722.xml
APP大厅_通用_007,通用APP10726,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10726.xml
,通用APP10727,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10727.xml
,通用APP10728,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10728.xml
,通用APP10725,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10725.xml
APP大厅_通用_008,通用APP10731,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10731.xml
,通用APP10729,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10729.xml
,通用APP10732,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10732.xml
,通用APP10730,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10730.xml
APP大厅_通用_009,通用APP10734,D:\ServersEX,D:\ServersEX\HallServerEx.exe,D:\ServersEX\通用APP10734.xml
