游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
斗地主-比赛-混服,Game-系统支持01,启动未运行,0,32.88,0,2020/7/26 18:23
通用-三人斗地主-朋友场1,Game-系统支持02,启动未运行,0,32.81,0,2020/7/26 18:23
通用-三人斗地主-朋友场2,Game-系统支持02,启动未运行,0,32.81,0,2020/7/26 18:23
通用-三人斗地主-金币场3,Game-系统支持03,启动未运行,0,15.92,0,2020/7/26 18:23
通用-升级-朋友场1,Game-系统支持04,启动未运行,0,12.97,0,2020/7/26 18:23
通用-升级-金币场1,Game-系统支持04,启动未运行,0,22.93,0,2020/7/26 18:23
通用-升级-金币场2,Game-系统支持04,启动未运行,0,18.15,0,2020/7/26 18:23
上海-上海拉西胡-朋友场,Game-江苏-安徽-浙江-上海01,已运行,5,32.45,0,2020/7/26 18:23
上海-上海搓花-朋友场,Game-江苏-安徽-浙江-上海01,已运行,0,32.31,0,2020/7/26 18:23
上海-上海敲麻-朋友场,Game-江苏-安徽-浙江-上海01,已运行,81,40.21,0,2020/7/26 18:23
上海-上海敲麻-金币场,Game-江苏-安徽-浙江-上海01,已运行,0,32.28,0,2020/7/26 18:23
上海-上海清混碰-朋友场,Game-江苏-安徽-浙江-上海01,已运行,0,32.36,0,2020/7/26 18:23
上海-上海百搭-朋友场,Game-江苏-安徽-浙江-上海01,已运行,31,33.5,0,2020/7/26 18:23
云南-个旧麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,0,16.43,0,2020/7/26 18:23
云南-临沧麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,1,30.15,0,2020/7/26 18:23
云南-云南推倒胡-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,28,37.64,0,2020/7/26 18:23
云南-保山麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,16,33.24,0,2020/7/26 18:23
云南-卡二条麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,3,33.52,0,2020/7/26 18:23
云南-卡心五麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,3,33.04,0,2020/7/26 18:23
云南-文山翻小鸡-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,0,30.32,0,2020/7/26 18:23
云南-春天扑克-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,69,33.3,0,2020/7/26 18:23
云南-春天扑克-金币场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,0,16.37,0,2020/7/26 18:23
云南-昭通麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,23,42.61,0,2020/7/26 18:23
云南-普洱麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,1,33.33,0,2020/7/26 18:23
云南-曲靖飞小鸡-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,46,39.68,0,2020/7/26 18:23
云南-楚雄四五筒-朋友场,Game-四川-云南-陕西-甘肃-宁夏02,已运行,0,18.94,0,2020/7/26 18:23
云南-玉溪五六筒-朋友场1,Game-四川-云南-陕西-甘肃-宁夏02,已运行,0,33.39,0,2020/7/26 18:23
全国-推到胡-金币场,Game-东北-贵州07,已运行,874,54.15,0,2020/7/26 18:23
内蒙-三人快胡-朋友场,Game-山东-山西-内蒙01,已运行,21,31.72,0,2020/7/26 18:23
内蒙-乌兰察布麻将-朋友场,Game-山东-山西-内蒙01,已运行,64,90,0,2020/7/26 18:23
内蒙-乌海麻将-朋友场,Game-山东-山西-内蒙01,已运行,56,89.06,0,2020/7/26 18:23
内蒙-二人单色-朋友场,Game-山东-山西-内蒙01,已运行,17,39.68,0,2020/7/26 18:23
内蒙-兴安盟麻将-朋友场,Game-山东-山西-内蒙01,已运行,12,34.57,0,2020/7/26 18:23
内蒙-内蒙古麻将-朋友场,Game-山东-山西-内蒙01,已运行,1178,153.01,0,2020/7/26 18:23
内蒙-内蒙古麻将-金币场,Game-山东-山西-内蒙01,已运行,214,31.66,0,2020/7/26 18:23
内蒙-内蒙推倒胡-朋友场,Game-山东-山西-内蒙01,已运行,132,119.95,0,2020/7/26 18:23
内蒙-包头麻将-朋友场,Game-山东-山西-内蒙01,已运行,500,128.7,0,2020/7/26 18:23
内蒙-呼和浩特麻将-朋友场,Game-山东-山西-内蒙01,已运行,257,99.23,0,2020/7/26 18:23
内蒙-巴彦淖尔麻将-朋友场,Game-山东-山西-内蒙01,已运行,152,42.07,0,2020/7/26 18:23
内蒙-打大A-朋友场,Game-山东-山西-内蒙01,已运行,57,31.95,0,2020/7/26 18:23
内蒙-赤峰穷胡-朋友场,Game-山东-山西-内蒙01,已运行,0,100.39,0,2020/7/26 18:23
内蒙-赤峰麻将-朋友场,Game-山东-山西-内蒙01,已运行,44,90.74,0,2020/7/26 18:23
内蒙-通辽麻将-朋友场,Game-山东-山西-内蒙01,已运行,35,36.49,0,2020/7/26 18:23
内蒙-鄂市麻将-朋友场,Game-山东-山西-内蒙01,已运行,142,93.39,0,2020/7/26 18:23
内蒙-锡盟麻将-朋友场,Game-山东-山西-内蒙01,已运行,1,84.74,0,2020/7/26 18:23
北京-北京玩法-朋友场,Game-河南-河北-天津-北京01,已运行,817,304.1,0,2020/7/26 18:23
北京-北京玩法-金币场,Game-河南-河北-天津-北京01,已运行,141,31.67,0,2020/7/26 18:23
吉林-东北刨幺-朋友场,Game-东北-贵州01,已运行,9153,233.41,0,2020/7/26 18:23
吉林-东北刨幺2人-金币场,Game-东北-贵州01,已运行,1697,117.71,0,2020/7/26 18:23
吉林-东北刨幺4人-金币场,Game-东北-贵州01,已运行,10057,295.51,0,2020/7/26 18:23
吉林-吉林麻将-朋友场,Game-东北-贵州01,已运行,1647,506.02,0,2020/7/26 18:23
吉林-吉林麻将-金币场,Game-东北-贵州01,已运行,980,101.68,0,2020/7/26 18:23
吉林-四平麻将-朋友场,Game-东北-贵州01,已运行,356,427.37,0,2020/7/26 18:23
吉林-四平麻将-金币场,Game-东北-贵州01,已运行,145,52.32,0,2020/7/26 18:23
吉林-填大坑-朋友场,Game-东北-贵州01,已运行,1800,132.64,0,2020/7/26 18:23
吉林-填大坑-金币场,Game-东北-贵州01,已运行,1042,36.79,0,2020/7/26 18:23
吉林-延吉麻将-朋友场,Game-东北-贵州01,已运行,115,362.41,0,2020/7/26 18:23
吉林-松原麻将-朋友场,Game-东北-贵州01,已运行,436,364.48,0,2020/7/26 18:23
吉林-松原麻将-金币场,Game-东北-贵州01,已运行,200,68.38,0,2020/7/26 18:23
吉林-白城麻将-朋友场,Game-东北-贵州01,已运行,765,376.68,0,2020/7/26 18:23
吉林-白城麻将-金币场,Game-东北-贵州01,已运行,285,38.15,0,2020/7/26 18:23
吉林-白山麻将-朋友场,Game-东北-贵州01,已运行,809,368.62,0,2020/7/26 18:23
吉林-白山麻将-金币场,Game-东北-贵州01,已运行,354,37.16,0,2020/7/26 18:23
吉林-红十-朋友场,Game-东北-贵州01,已运行,8980,168.55,0,2020/7/26 18:23
吉林-红十快十-金币场,Game-东北-贵州01,已运行,1343,171.14,0,2020/7/26 18:23
吉林-红十慢十-金币场,Game-东北-贵州01,已运行,42,59.82,0,2020/7/26 18:23
吉林-辽源麻将-朋友场,Game-东北-贵州01,已运行,674,357.36,0,2020/7/26 18:23
吉林-辽源麻将-金币场,Game-东北-贵州01,已运行,171,34.32,0,2020/7/26 18:23
吉林-通化麻将-朋友场,Game-东北-贵州01,已运行,184,353.84,0,2020/7/26 18:23
吉林-长春麻将-朋友场1,Game-东北-贵州02,已运行,1326,836.02,0,2020/7/26 18:23
吉林-长春麻将-朋友场2,Game-东北-贵州02,已运行,1353,838.33,0,2020/7/26 18:23
吉林-长春麻将-朋友场3,Game-东北-贵州02,已运行,1332,835.51,0,2020/7/26 18:23
吉林-长春麻将-金币场,Game-东北-贵州02,已运行,2570,382.13,0,2020/7/26 18:23
四川-万州麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,5,19.68,0,2020/7/26 18:23
四川-万州麻将-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,15.94,0,2020/7/26 18:23
四川-乐山贰柒拾-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,16,15.97,0,2020/7/26 18:23
四川-乐山贰柒拾-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,63.72,0,2020/7/26 18:23
四川-乐山麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,20,25.53,0,2020/7/26 18:23
四川-乐山麻将-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,16,0,2020/7/26 18:23
四川-内江麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,73,45.2,0,2020/7/26 18:23
四川-南充麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,9,19.83,0,2020/7/26 18:23
四川-南充麻将-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,15.4,0,2020/7/26 18:23
四川-四川推倒胡-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,34,23.61,0,2020/7/26 18:23
四川-四川跑得快-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,229,15.98,0,2020/7/26 18:23
四川-宜宾麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,31,25.32,0,2020/7/26 18:23
四川-宜宾麻将-金币场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,15.94,0,2020/7/26 18:23
四川-广安麻将-朋友场1,Game-四川-云南-陕西-甘肃-宁夏01,已运行,10,23.27,0,2020/7/26 18:23
