APP大厅,,,,小程序大厅,,,,游戏服务器,,
游戏服务器,服务器名称,状态,,游戏服务器,服务器名称,状态,,游戏服务器,服务器名称,状态
通用APP10705,APP大厅_通用_002,启动未运行,,通用小游戏10004,小游戏大厅_通用_001,启动未运行,,斗地主-比赛-混服,Game-系统支持01,启动未运行
通用APP10707,APP大厅_通用_002,启动未运行,,通用小游戏10005,小游戏大厅_通用_002,启动未运行,,通用-三人斗地主-朋友场1,Game-系统支持02,启动未运行
通用APP10709,APP大厅_通用_003,启动未运行,,通用小游戏10007,小游戏大厅_通用_002,启动未运行,,通用-三人斗地主-朋友场2,Game-系统支持02,启动未运行
通用APP10714,APP大厅_通用_004,启动未运行,,通用小游戏10010,小游戏大厅_通用_003,启动未运行,,通用-三人斗地主-金币场3,Game-系统支持03,启动未运行
通用APP10725,APP大厅_通用_007,启动未运行,,通用小游戏10012,小游戏大厅_通用_003,启动未运行,,通用-升级-朋友场1,Game-系统支持04,启动未运行
通用APP10727,APP大厅_通用_007,启动未运行,,通用小游戏10015,小游戏大厅_通用_004,启动未运行,,通用-升级-金币场1,Game-系统支持04,启动未运行
通用APP10730,APP大厅_通用_008,启动未运行,,通用小游戏10021,小游戏大厅_通用_006,启动未运行,,通用-升级-金币场2,Game-系统支持04,启动未运行
通用APP10736,APP大厅_通用_009,启动未运行,,通用小游戏10039,小游戏大厅_通用_010,启动未运行,,,,
通用APP10745,APP大厅_通用_012,启动未运行,,通用小游戏10040,小游戏大厅_通用_010,启动未运行,,,,
通用APP10748,APP大厅_通用_012,启动未运行,,通用小游戏10042,小游戏大厅_通用_011,启动未运行,,,,
