游戏服务器,所属游戏,文件夹,启动程序,配置文件
测试服务器,海南麻将ceshi45,D:\海南,D:\海南\HaiNanMaJiangServer.exe,D:\海南\hainan.xml
,干瞪眼ceshi45,D:\公共游戏,D:\公共游戏\GanDengYanServer.exe,D:\公共游戏\干瞪眼.xml
,跑得快ceshi45,D:\跑得快金币朋友场,D:\跑得快金币朋友场\PaoDeKuaiServer.exe,D:\跑得快金币朋友场\跑得快.xml
,斗地主ceshi45,D:\斗地主\朋友场金币场,D:\斗地主\朋友场金币场\DouDiZhuServer.exe,D:\斗地主\朋友场金币场\斗地主-普通.xml
,斗地主闯关服务器ceshi45,D:\斗地主\闯关,D:\斗地主\DouDiZhuServer.exe,D:\斗地主\闯关\斗地主-闯关.xml
,长春麻将ceshi45,D:\吉林地区,D:\吉林地区\ccmj_server.exe,D:\吉林地区\长春.xml
,天地癞子测试服务器,D:\趣游天地癞子_测试,,D:\趣游天地癞子_测试\趣游天地癞子测试.xml
,癞子地主测试服务器,D:\趣游癞子地主_测试,,D:\趣游癞子地主_测试\趣游癞子地主测试.xml
,猜地主测试服务器,D:\趣游猜地主_测试,D:\趣游猜地主_测试\CaiDiZhuServer.exe,D:\趣游猜地主_测试\趣游猜地主测试.xml
,趣游斗地主测试服务器,D:\趣游斗地主_测试_29449,D:\趣游斗地主_测试_29449\ZjDouDiZhuServer.exe,D:\趣游斗地主_测试_29449\趣游斗地主测试.xml
,东北刨幺ceshi45,D:\吉林地区,D:\吉林地区\DongBeiPaoYaoServer.exe,D:\吉林地区\刨幺.xml
,血战到底cs,D:\四川,D:\四川\SCXueZhanDaoDiMaJiangServer.exe,D:\四川\血战到底.xml
,赚金闯关测试,D:\赚金闯关测试_29449,D:\赚金闯关测试_29449\DouDiZhuServer.exe,D:\赚金闯关测试_29449\赚金闯关.xml
,赚金斗地主测试3,D:\赚金斗地主_测试_29449,D:\赚金斗地主_测试_29449\ZjDouDiZhuServer.exe,D:\赚金斗地主_测试_29449\赚金斗地主测试.xml
,二人斗地主ceshi45,D:\斗地主\二人斗地主专用,D:\斗地主\ErRenDouDiZhu.exe,D:\斗地主\二人斗地主专用\二人斗地主-普通.xml
,天津麻将ceshi45,D:\天津,D:\天津\TianJinMJServer.exe,D:\天津\天津.xml
,安广麻将ceshi45,D:\吉林地区,D:\吉林地区\agmj_Server.exe,D:\吉林地区\agmj.xml
,跑得快闯关ceshi45,D:\跑得快闯关,D:\跑得快闯关\PaoDeKuaiServer.exe,D:\跑得快闯关\跑得快闯关服务器.xml
,至尊二人麻将ceshi45,D:\公共游戏,D:\公共游戏\GBErRenMaJiangServer.exe,D:\公共游戏\二人雀神.xml
,榆树麻将ceshi45,D:\吉林地区,D:\吉林地区\ysmj_server.exe,D:\吉林地区\榆树.xml
,斗地主比赛_混服ceshi45,D:\斗地主\礼券赛,D:\斗地主PK1混服2\DouDiZhuServer.exe,D:\斗地主\礼券赛\斗地主PK1混服吉祥 - 测试服.xml
,斗地主ceshi45_pt,D:\斗地主\朋友场金币场,D:\斗地主\朋友场金币场\DouDiZhuServer.exe,D:\斗地主\朋友场金币场\斗地主-普通 - 金币.xml
,三打一ceshi45,D:\公共游戏,D:\公共游戏\SanDaYiServer.exe,D:\公共游戏\sandayi.xml
,吉林麻将ceshi45,D:\吉林地区,D:\吉林地区\jlmj_Server.exe,D:\吉林地区\吉林.xml
待发布,登陆(测试)JX,D:\登陆服务器JX,D:\登陆服务器JX\LoginServer.exe,D:\登陆服务器JX\登陆服务器.xml
