游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
X_段位服务器65527,微乐-段位服务器_001,已运行,39,601.38,1.5,21:30:00
X_段位服务器65528,微乐-段位服务器_001,已运行,39,597.29,2.3,21:30:00
X_段位服务器65529,微乐-段位服务器_001,已运行,39,599.85,1.2,21:30:00
X_段位服务器65524,微乐-段位服务器_002,已运行,39,641.62,1.5,21:30:00
X_段位服务器65525,微乐-段位服务器_002,已运行,39,600.55,1.1,21:30:00
X_段位服务器65526,微乐-段位服务器_002,已运行,39,602.59,1,21:30:00
X_段位服务器65521,微乐-段位服务器_003,已运行,39,587.68,1.5,21:30:00
X_段位服务器65522,微乐-段位服务器_003,已运行,39,593.98,1.8,21:30:00
X_段位服务器65523,微乐-段位服务器_003,已运行,39,597.84,1,21:30:00
X_段位服务器65518,微乐-段位服务器_004,已运行,39,1450.92,3,21:30:00
X_段位服务器65519,微乐-段位服务器_004,已运行,39,3240.42,6.9,21:30:00
X_段位服务器65520,微乐-段位服务器_004,已运行,39,631.32,1,21:30:00
X_段位服务器65515,微乐-段位服务器_005,已运行,39,331.7,2,21:30:00
X_段位服务器65516,微乐-段位服务器_005,已运行,39,1201.98,2.8,21:30:00
X_段位服务器65517,微乐-段位服务器_005,已运行,39,696.07,0.8,21:30:00
X_段位服务器65510,微乐-段位服务器_006,已运行,39,1161.32,3.7,21:30:00
X_段位服务器65511,微乐-段位服务器_006,已运行,39,404.96,1.4,21:30:00
X_段位服务器65512,微乐-段位服务器_006,已运行,39,24.16,0.1,21:30:00
X_段位服务器65513,微乐-段位服务器_006,已运行,39,161.29,0.1,21:30:00
X_段位服务器65514,微乐-段位服务器_006,已运行,39,182.43,0.8,21:30:00
X_段位服务器65505,微乐-段位服务器_007,已运行,39,127.22,0.2,21:30:00
X_段位服务器65506,微乐-段位服务器_007,已运行,39,159.82,0.2,21:30:00
X_段位服务器65507,微乐-段位服务器_007,已运行,39,568.53,1.5,21:30:00
X_段位服务器65508,微乐-段位服务器_007,已运行,39,2628.89,7.7,21:30:00
X_段位服务器65509,微乐-段位服务器_007,已运行,39,42.51,0.1,21:30:00
X_段位服务器65499,微乐-段位服务器_008,已运行,39,23.04,0.1,21:30:00
X_段位服务器65500,微乐-段位服务器_008,已运行,39,23.04,0.1,21:30:00
X_段位服务器65501,微乐-段位服务器_008,已运行,39,929.04,3.5,21:30:00
X_段位服务器65502,微乐-段位服务器_008,已运行,39,603.67,0.9,21:30:00
X_段位服务器65503,微乐-段位服务器_008,已运行,39,609.5,0.8,21:30:00
X_段位服务器65504,微乐-段位服务器_008,已运行,39,614.76,1.5,21:30:00
X_段位服务器65488,微乐-段位服务器_009,已运行,39,39.82,0.1,21:30:00
X_段位服务器65498,微乐-段位服务器_009,已运行,39,60.16,0.3,21:30:00
X_段位服务器65495,微乐-段位服务器_010,已运行,39,525.31,1.6,21:30:00
X_段位服务器65496,微乐-段位服务器_010,已运行,39,529.14,1.9,21:30:00
X_段位服务器65497,微乐-段位服务器_010,已运行,39,536.27,1.3,21:30:00
X_段位服务器65492,微乐-段位服务器_011,已运行,39,530.22,1,21:30:00
X_段位服务器65493,微乐-段位服务器_011,已运行,39,523.13,1.5,21:30:00
X_段位服务器65494,微乐-段位服务器_011,已运行,39,521.94,1.1,21:30:00
X_段位服务器65489,微乐-段位服务器_012,已运行,39,600.68,1.3,21:30:00
X_段位服务器65490,微乐-段位服务器_012,已运行,39,592.7,0.9,21:30:00
X_段位服务器65491,微乐-段位服务器_012,已运行,39,619.36,1.8,21:30:00
