游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
三人斗地主friJX,Game-系统支持01,已运行,863,413.57,0,2020-12-21 19:32:32
三人斗地主pt,Game-系统支持01,已运行,4654,546.98,0,2020-12-21 19:32:31
二人斗地主pt,Game-系统支持01,已运行,434,208.11,0,2020-12-21 19:32:32
二人斗地主朋友场,Game-系统支持01,已运行,309,93.59,0,2020-12-21 19:32:32
全国-推倒胡-金币场,Game-东北-贵州02,已运行,290,42.62,0,2020-12-21 19:32:32
内蒙-内蒙古玩法-朋友场,Game-山东-山西-内蒙01,已运行,37,250.54,0,2020-12-21 19:32:31
内蒙-内蒙古玩法-金币场,Game-山东-山西-内蒙01,已运行,7,11.91,0,2020-12-21 19:32:31
北京-北京玩法-朋友场,Game-河南-河北-天津-北京01,已运行,13,75.99,0,2020-12-21 19:32:32
北京-北京玩法-金币场,Game-河南-河北-天津-北京01,已运行,30,19.02,0,2020-12-21 19:32:32
升级,Game-系统支持01,已运行,566,33.77,0,2020-12-21 19:32:32
升级朋友场,Game-系统支持01,已运行,33,48.33,0,2020-12-21 19:32:32
吉林-东北刨幺-朋友场,Game-东北-贵州01,已运行,85,178.31,0,2020-12-21 19:32:32
吉林-东北刨幺-金币场,Game-东北-贵州01,已运行,5329,449.3,0,2020-12-21 19:32:32
吉林-九台晃晃-朋友场,Game-东北-贵州01,已运行,253,645.14,0,2020-12-21 19:32:32
吉林-九台甩龙-朋友场,Game-东北-贵州01,已运行,312,135.77,0,2020-12-21 19:32:32
吉林-九台麻将-朋友场,Game-东北-贵州01,已运行,1043,763.68,0,2020-12-21 19:32:31
吉林-九台麻将-金币场,Game-东北-贵州01,已运行,327,148.91,0,2020-12-21 19:32:32
吉林-乾安麻将-朋友场,Game-东北-贵州01,已运行,192,625.4,0,2020-12-21 19:32:32
吉林-农安麻将-朋友场,Game-东北-贵州01,已运行,2965,711.03,0,2020-12-21 19:32:32
吉林-农安麻将-金币场,Game-东北-贵州01,已运行,517,137.43,0,2020-12-21 19:32:31
吉林-双辽麻将-朋友场,Game-东北-贵州01,已运行,4,575.75,0,2020-12-21 19:32:32
吉林-双阳麻将-朋友场,Game-东北-贵州01,已运行,482,776.65,0,2020-12-21 19:32:31
吉林-双阳麻将-金币场,Game-东北-贵州01,已运行,276,132.25,0,2020-12-21 19:32:31
吉林-吉林红十-朋友场,Game-东北-贵州01,已运行,296,183.99,0,2020-12-21 19:32:32
吉林-吉林红十-金币场,Game-东北-贵州01,已运行,1616,437.57,0,2020-12-21 19:32:31
吉林-吉林麻将-朋友场,Game-东北-贵州01,已运行,427,897.49,0,2020-12-21 19:32:32
吉林-吉林麻将-金币场,Game-东北-贵州01,已运行,2489,228.72,0,2020-12-21 19:32:32
吉林-四平麻将-朋友场,Game-东北-贵州01,已运行,259,670.78,0,2020-12-21 19:32:31
吉林-四平麻将-金币场,Game-东北-贵州01,已运行,844,157.8,0,2020-12-21 19:32:31
吉林-填大坑-朋友场,Game-东北-贵州01,已运行,2899,237.11,0,2020-12-21 19:32:32
吉林-填大坑-金币场,Game-东北-贵州01,已运行,1028,57.67,0,2020-12-21 19:32:31
吉林-大安麻将-朋友场,Game-东北-贵州01,已运行,28,801.07,0,2020-12-21 19:32:32
吉林-安广麻将-朋友场,Game-东北-贵州01,已运行,2,743.33,0,2020-12-21 19:32:31
吉林-延吉麻将-朋友场,Game-东北-贵州01,已运行,48,657.46,0,2020-12-21 19:32:31
吉林-延吉麻将-金币场,Game-东北-贵州01,已运行,364,131.26,0,2020-12-21 19:32:31
吉林-德惠麻将-朋友场,Game-东北-贵州01,已运行,0,223.54,0,2020-12-21 19:32:32
吉林-扶余麻将-朋友场,Game-东北-贵州01,已运行,35,636.89,0,2020-12-21 19:32:31
吉林-敦化麻将-朋友场,Game-东北-贵州01,已运行,945,689.25,0,2020-12-21 19:32:32
吉林-松原麻将-朋友场,Game-东北-贵州01,已运行,30,626.52,0,2020-12-21 19:32:32
吉林-松原麻将-金币场,Game-东北-贵州01,已运行,553,119.63,0,2020-12-21 19:32:31
吉林-梅河麻将-朋友场,Game-东北-贵州01,已运行,956,727.91,0,2020-12-21 19:32:31
吉林-梅河麻将-金币场,Game-东北-贵州01,已运行,502,80.45,0,2020-12-21 19:32:32
吉林-梨树麻将-朋友场,Game-东北-贵州01,已运行,5,657.48,0,2020-12-21 19:32:32
吉林-榆树麻将-朋友场,Game-东北-贵州01,已运行,2004,662.74,0,2020-12-21 19:32:32
吉林-榆树麻将-金币场,Game-东北-贵州01,已运行,363,131.28,0,2020-12-21 19:32:32
吉林-珲春麻将-朋友场,Game-东北-贵州01,已运行,442,599.65,0,2020-12-21 19:32:32
吉林-白城麻将-朋友场,Game-东北-贵州01,已运行,47,617.87,0,2020-12-21 19:32:31
吉林-白城麻将-金币场,Game-东北-贵州01,已运行,631,79.44,0,2020-12-21 19:32:32
吉林-白山麻将-朋友场,Game-东北-贵州01,已运行,82,602.21,0,2020-12-21 19:32:31
吉林-白山麻将-金币场,Game-东北-贵州01,已运行,233,65.83,0,2020-12-21 19:32:32
吉林-磐石麻将-朋友场,Game-东北-贵州01,已运行,13,579.17,0,2020-12-21 19:32:31
吉林-舒兰麻将-朋友场,Game-东北-贵州01,已运行,2,709.54,0,2020-12-21 19:32:31
吉林-辽源麻将-朋友场,Game-东北-贵州01,已运行,28,594.73,0,2020-12-21 19:32:31
吉林-辽源麻将-金币场,Game-东北-贵州01,已运行,185,64.61,0,2020-12-21 19:32:32
吉林-通化麻将-朋友场,Game-东北-贵州01,已运行,543,646.36,0,2020-12-21 19:32:31
吉林-通化麻将-金币场,Game-东北-贵州01,已运行,219,70.03,0,2020-12-21 19:32:31
吉林-长岭麻将-朋友场,Game-东北-贵州01,已运行,0,581.92,0,2020-12-21 19:32:32
吉林-长春麻将-朋友场,Game-东北-贵州01,已运行,755,993.91,0,2020-12-21 19:32:32
吉林-长春麻将-金币场,Game-东北-贵州01,已运行,2375,330.52,0,2020-12-21 19:32:32
吉林-靖宇麻将-朋友场,Game-东北-贵州01,已运行,273,599.33,0,2020-12-21 19:32:32
四川血战到底,Game-系统支持01,已运行,361,60.36,0,2020-12-21 19:32:32
四川血战到底fri,Game-系统支持01,已运行,658,562.32,0,2020-12-21 19:32:32
大厅地鼠-吉祥,Game-四川-云南-陕西-甘肃-宁夏01,已运行,3,28.08,0,2020-12-21 19:32:32
天津-天津麻将-朋友场,Game-河南-河北-天津-北京01,已运行,8,198.86,0,2020-12-21 19:32:32
天津-天津麻将-金币场,Game-河南-河北-天津-北京01,已运行,0,8.44,0,2020-12-21 19:32:32
宁夏-划水麻将-朋友场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,4,267.2,0,2020-12-21 19:32:32
宁夏-划水麻将-金币场,Game-四川-云南-陕西-甘肃-宁夏01,已运行,0,15.89,0,2020-12-21 19:32:32
安徽-掼蛋-朋友场,Game-江苏-安徽-浙江-上海01,已运行,9,223.84,0,2020-12-21 19:32:32
安徽-掼蛋-金币场,Game-江苏-安徽-浙江-上海01,已运行,0,43.39,0,2020-12-21 19:32:32
山东-够级玩法-朋友场,Game-山东-山西-内蒙01,已运行,0,122.88,0,2020-12-21 19:32:31
山东-够级玩法-金币场,Game-山东-山西-内蒙01,已运行,1,126.56,0,2020-12-21 19:32:31
山东-威海保皇-朋友场,Game-山东-山西-内蒙01,已运行,0,119.48,0,2020-12-21 19:32:31
山东-威海保皇-金币场,Game-山东-山西-内蒙01,已运行,0,22.27,0,2020-12-21 19:32:31
