游戏服务器,服务器名称,状态,负荷,内存,cpu,时间
X_大厅服务器203_,测试大厅审核,已运行,9,224.6,0,2020-12-16 14:11:18
X_通用APP10701,APP大厅_通用_001,已运行,759,324.05,0,2020-12-16 14:11:18
X_通用APP10702,APP大厅_通用_001,已运行,681,327.81,0,2020-12-16 14:11:18
X_通用APP10703,APP大厅_通用_001,已运行,752,271.79,0,2020-12-16 14:11:18
X_通用APP10704,APP大厅_通用_001,已运行,745,333.43,0,2020-12-16 14:11:18
X_通用APP10705,APP大厅_通用_002,已运行,744,302.28,0,2020-12-16 14:11:18
X_通用APP10706,APP大厅_通用_002,已运行,743,324.13,0,2020-12-16 14:11:18
X_通用APP10707,APP大厅_通用_002,已运行,735,294.47,0,2020-12-16 14:11:18
X_通用APP10708,APP大厅_通用_002,已运行,763,321.25,0,2020-12-16 14:11:18
X_通用APP10709,APP大厅_通用_003,已运行,758,330.66,0,2020-12-16 14:11:17
X_通用APP10710,APP大厅_通用_003,已运行,706,320.18,0,2020-12-16 14:11:17
X_通用APP10711,APP大厅_通用_003,已运行,715,327.64,0,2020-12-16 14:11:17
X_通用APP10712,APP大厅_通用_003,已运行,747,324.68,0,2020-12-16 14:11:17
X_通用APP10713,APP大厅_通用_004,已运行,736,331.96,0,2020-12-16 14:11:18
X_通用APP10714,APP大厅_通用_004,已运行,723,324.5,0,2020-12-16 14:11:18
X_通用APP10715,APP大厅_通用_004,已运行,738,326.02,0,2020-12-16 14:11:18
X_通用APP10716,APP大厅_通用_004,已运行,759,293.25,0,2020-12-16 14:11:18
X_通用APP10717,APP大厅_通用_005,已运行,746,373.04,0,2020-12-16 14:11:18
X_通用APP10718,APP大厅_通用_005,已运行,739,364.57,0,2020-12-16 14:11:18
X_通用APP10719,APP大厅_通用_005,已运行,768,361.7,0,2020-12-16 14:11:18
X_通用APP10720,APP大厅_通用_005,已运行,739,314.34,0,2020-12-16 14:11:18
X_通用APP10721,APP大厅_通用_006,已运行,728,325.75,0,2020-12-16 14:11:18
X_通用APP10722,APP大厅_通用_006,已运行,763,332.43,0,2020-12-16 14:11:18
X_通用APP10723,APP大厅_通用_006,已运行,761,329.38,0,2020-12-16 14:11:18
X_通用APP10724,APP大厅_通用_006,已运行,741,329.98,0,2020-12-16 14:11:18
X_通用APP10725,APP大厅_通用_007,已运行,698,323.14,0,2020-12-16 14:11:17
X_通用APP10726,APP大厅_通用_007,已运行,701,310.44,0,2020-12-16 14:11:17
X_通用APP10727,APP大厅_通用_007,已运行,738,333.31,0,2020-12-16 14:11:17
X_通用APP10728,APP大厅_通用_007,已运行,759,324.57,0,2020-12-16 14:11:17
X_通用APP10729,APP大厅_通用_008,已运行,740,322.72,0,2020-12-16 14:11:17
X_通用APP10730,APP大厅_通用_008,已运行,773,328.96,0,2020-12-16 14:11:17
X_通用APP10731,APP大厅_通用_008,已运行,729,281.62,0,2020-12-16 14:11:17
X_通用APP10732,APP大厅_通用_008,已运行,721,330.4,0,2020-12-16 14:11:17
X_通用APP10733,APP大厅_通用_009,已运行,745,331.52,0,2020-12-16 14:11:18
X_通用APP10734,APP大厅_通用_009,已运行,778,319.68,0,2020-12-16 14:11:18
X_通用APP10735,APP大厅_通用_009,已运行,785,334.45,0,2020-12-16 14:11:18
X_通用APP10736,APP大厅_通用_009,已运行,756,327.98,0,2020-12-16 14:11:18
X_通用APP10737,APP大厅_通用_010,已运行,750,324.21,0,2020-12-16 14:11:17
X_通用APP10738,APP大厅_通用_010,已运行,729,326.37,0,2020-12-16 14:11:17
X_通用APP10739,APP大厅_通用_010,已运行,700,324.57,0,2020-12-16 14:11:17
X_通用APP10740,APP大厅_通用_010,已运行,798,286.43,0,2020-12-16 14:11:17
X_通用APP10741,APP大厅_通用_011,已运行,738,327.53,0,2020-12-16 14:11:18
X_通用APP10742,APP大厅_通用_011,已运行,713,324.14,0,2020-12-16 14:11:18
X_通用APP10743,APP大厅_通用_011,已运行,743,325.85,0,2020-12-16 14:11:18
X_通用APP10744,APP大厅_通用_011,已运行,710,328.93,0,2020-12-16 14:11:18
X_通用APP10745,APP大厅_通用_012,已运行,773,270.38,0,2020-12-16 14:11:18
X_通用APP10746,APP大厅_通用_012,已运行,737,322.82,0,2020-12-16 14:11:18
X_通用APP10747,APP大厅_通用_012,已运行,753,326.76,0,2020-12-16 14:11:18
X_通用APP10748,APP大厅_通用_012,已运行,747,317.91,0,2020-12-16 14:11:18
X_通用APP10749,APP大厅_通用_013,已运行,692,327.48,0,2020-12-16 14:11:17
X_通用APP10750,APP大厅_通用_013,已运行,763,321.24,0,2020-12-16 14:11:17
X_通用APP10751,APP大厅_通用_013,已运行,701,329.4,0,2020-12-16 14:11:17
X_通用APP10752,APP大厅_通用_013,已运行,743,316.98,0,2020-12-16 14:11:17
X_通用APP10753,APP大厅_通用_014,已运行,735,369.93,0,2020-12-16 14:11:17
X_通用APP10754,APP大厅_通用_014,已运行,794,361.15,0,2020-12-16 14:11:17
X_通用APP10755,APP大厅_通用_014,已运行,701,358.7,0,2020-12-16 14:11:17
X_通用APP10756,APP大厅_通用_014,已运行,729,299.51,0,2020-12-16 14:11:17
X_通用APP10757,APP大厅_通用_015,已运行,707,359.94,0,2020-12-16 14:11:17
X_通用APP10758,APP大厅_通用_015,已运行,739,304.25,0,2020-12-16 14:11:17
X_通用APP10759,APP大厅_通用_015,已运行,738,366.18,0,2020-12-16 14:11:17
X_通用APP10760,APP大厅_通用_015,已运行,713,349.2,0,2020-12-16 14:11:17
X_通用APP10761,APP大厅_通用_016,已运行,754,295.75,0,2020-12-16 14:11:18
X_通用APP10762,APP大厅_通用_016,已运行,758,329.39,0,2020-12-16 14:11:18
X_通用APP10763,APP大厅_通用_016,已运行,722,298.97,0,2020-12-16 14:11:18
X_通用APP10764,APP大厅_通用_016,已运行,695,313.75,0,2020-12-16 14:11:18
