游戏服务器,所属游戏,文件夹,启动程序,配置文件
贵阳12款游戏,毕节麻将服务器cs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\BiJieMJServer.exe,D:\Game_贵阳_朋友场new\毕节麻将.xml
,绥阳麻将-F,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\SuYaMJServer.exe,D:\Game_贵阳_朋友场new\绥阳麻将-f.xml
,闷胡血流fr,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\MenHuXueLiuServer.exe,D:\Game_贵阳_朋友场new\闷胡血流fr.xml
,凯里麻将服务器cs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\KaLiMJServer.exe,D:\Game_贵阳_朋友场new\凯里麻将.xml
,都匀麻将服务器cs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\DuYunMJServer.exe,D:\Game_贵阳_朋友场new\都匀麻将.xml
,GY贵阳捉鸡newcs2,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\GuiYangZJMaJiangServer.exe,D:\Game_贵阳_朋友场new\贵阳捉鸡2.xml
,GY贵阳捉鸡newcs1,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\GuiYangZJMaJiangServer.exe,D:\Game_贵阳_朋友场new\贵阳捉鸡1.xml
,GY贵阳捉鸡newcs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\GuiYangZJMaJiangServer.exe,D:\Game_贵阳_朋友场new\贵阳捉鸡.xml
,毕节麻将服务器,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\BiJieMJServer.exe,D:\Game_贵阳_普通场new\毕节麻将.xml
,GY铜仁麻将new,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\TongRenMJServer.exe,D:\Game_贵阳_普通场new\铜仁麻将.xml
,凯里麻将服务器,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\KaLiMJServer.exe,D:\Game_贵阳_普通场new\凯里麻将.xml
,都匀麻将服务器,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\DuYunMJServer.exe,D:\Game_贵阳_普通场new\都匀麻将.xml
,GY遵义麻将new,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\ZunYiMaJiangServer.exe,D:\Game_贵阳_普通场new\遵义麻将.xml
,GY贵阳捉鸡new,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\GuiYangZJMaJiangServer.exe,D:\Game_贵阳_普通场new\贵阳捉鸡.xml
,绥阳麻将,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\SuYaMJServer.exe,D:\Game_贵阳_普通场new\绥阳麻将.xml
,闷胡血流,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\MenHuXueLiuServer.exe,D:\Game_贵阳_普通场new\闷胡血流.xml
,六盘水麻将,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\LiuPanShuiMJServer.exe,D:\Game_贵阳_普通场new\六盘水麻将.xml
,GY兴义麻将new,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\XiYiMJServer.exe,D:\Game_贵阳_普通场new\兴义麻将.xml
,GY安顺麻将new,D:\Game_贵阳_普通场new,D:\Game_贵阳_普通场new\AnShunMJServer.exe,D:\Game_贵阳_普通场new\安顺麻将.xml
,三丁两房fr,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\SanDingLFMJServer.exe,D:\Game_贵阳_朋友场new\三丁两房fr.xml
,六盘水麻将fr,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\LiuPanShuiMJServer.exe,D:\Game_贵阳_朋友场new\六盘水麻将fr.xml
,二丁两房fr,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\ERDingLiangFangMJServer.exe,D:\Game_贵阳_朋友场new\二丁两房fr.xml
,GY遵义麻将newcs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\ZunYiMaJiangServer.exe,D:\Game_贵阳_朋友场new\遵义麻将.xml
,GY兴义麻将newcs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\XiYiMJServer.exe,D:\Game_贵阳_朋友场new\兴义麻将.xml
,GY铜仁麻将newcs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\TongRenMJServer.exe,D:\Game_贵阳_朋友场new\铜仁麻将.xml
,GY安顺麻将newcs,D:\Game_贵阳_朋友场new,D:\Game_贵阳_朋友场new\AnShunMJServer.exe,D:\Game_贵阳_朋友场new\安顺麻将.xml
贵阳_河南_湖南_四川_云南_山西_浙江,周口麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\ZhouKouMaJiangServer.exe,D:\Game_河南_朋友场New\周口麻将.xml
,新乡麻将cs,D:\Game_河南_朋友场New,D:\Game_河南_朋友场New\XinXiangMaJiangServer.exe,D:\Game_河南_朋友场New\新乡麻将.xml
,断卡勾麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCDuanKaGouMaJiangServer.exe,D:\Game_四川_普通场new\四川断卡勾麻将.xml
,自贡麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCZiGongMaJiangServer.exe,D:\Game_四川_普通场new\自贡麻将.xml
,宜宾麻将,D:\Game_四川_普通场new,D:\Game_四川_普通场new\SCYiBinMaJiangServer.exe,D:\Game_四川_普通场new\宜宾麻将.xml
,信阳黑七,D:\Game_河南_普通场New,D:\Game_河南_普通场New\HeiQiServer.exe,D:\Game_河南_普通场New\信阳黑七.xml
,常德字牌wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ChangDeZiPaiServer.exe,D:\Game_湖南_朋友场new\常德字牌-f.xml
,娄底放炮罚wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\LouDiFangPaoFaServer.exe,D:\Game_湖南_朋友场new\娄底放炮罚-f.xml
,湖南红中麻将wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\HongZhongMJServer.exe,D:\Game_湖南_朋友场new\红中麻将.xml
,长沙麻将new-F,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ChangShaMJServer.exe,D:\Game_湖南_朋友场new\长沙麻将-f.xml
,郴州字牌wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ChenZhouZiPaiServer.exe,D:\Game_湖南_朋友场new\郴州字牌-f.xml
,长沙跑胡子wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ChangShaPHZServer.exe,D:\Game_湖南_朋友场new\长沙跑胡子wlf.xml
,邵阳字牌wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ShaoYangZiPaiServer.exe,D:\Game_湖南_朋友场new\邵阳字牌-f.xml
,湘乡告胡子wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\XiangXianGHZServer.exe,D:\Game_湖南_朋友场new\湘乡告胡子-f.xml
,邵阳麻将wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ShYaMJServer.exe,D:\Game_湖南_朋友场new\邵阳麻将-f.xml
,邵阳剥皮wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ShaoYangBoPiServer.exe,D:\Game_湖南_朋友场new\邵阳剥皮wlf.xml
,转转麻将new-F,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\ZhuanZhuanMJServer.exe,D:\Game_湖南_朋友场new\转转麻将.xml
,岳阳麻将,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\YueYangCGMJServer.exe,D:\Game_湖南_朋友场new\岳阳炒股麻将-f.xml
,益阳麻将wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\YiYaMJServer.exe,D:\Game_湖南_朋友场new\益阳麻将-f.xml
,攸县字牌wlf,D:\Game_湖南_朋友场new,D:\Game_湖南_朋友场new\YouXianZiPaiServer.exe,D:\Game_湖南_朋友场new\攸县字牌-f.xml
,长沙跑胡子,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ChangShaPHZServer.exe,D:\Game_湖南_普通场new\长沙跑胡子.xml
,长沙麻将new,D:\Game_湖南_普通场new,D:\Game_湖南_普通场new\ChangShaMJServer.exe,D:\Game_湖南_普通场new\长沙麻将.xml
