id,servername,serverport,IP
23021,冀京津小游戏23021,23021,10.28.78.128
23022,冀京津小游戏23022,23022,10.28.78.128
23023,冀京津小游戏23023,23023,10.28.78.128
23024,冀京津小游戏23024,23024,10.28.78.128
23025,冀京津小游戏23025,23025,10.28.77.244
23026,冀京津小游戏23026,23026,10.28.77.244
23027,冀京津小游戏23027,23027,10.28.77.244
23028,冀京津小游戏23028,23028,10.28.77.244
23029,冀京津小游戏23029,23029,10.28.77.242
23030,冀京津小游戏23030,23030,10.28.77.242
23031,冀京津小游戏23031,23031,10.28.77.242
23032,冀京津小游戏23032,23032,10.28.77.242
23033,冀京津小游戏23033,23033,10.28.77.241
23034,冀京津小游戏23034,23034,10.28.77.241
23035,冀京津小游戏23035,23035,10.28.77.241
23036,冀京津小游戏23036,23036,10.28.77.241
23037,冀京津小游戏23037,23037,10.28.77.240
23038,冀京津小游戏23038,23038,10.28.77.240
23039,冀京津小游戏23039,23039,10.28.77.240
23040,冀京津小游戏23040,23040,10.28.77.240
